Fecha Transplante,Fecha TransplanteTxt,AñoSiembra,Productor,Productor,Ha,Fecha Recibo,FechaRecibo txt,Año Recibo,Semana Recibo,Kilos,Clase,Tipo,Variedad,Parcela,Lote,Brix
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,22/06/2021,22-Jun-21,2021,26,141,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,14/06/2021,14-Jun-21,2021,25,11,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,14/06/2021,14-Jun-21,2021,25,22,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,18/06/2021,18-Jun-21,2021,25,33,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,22/06/2021,22-Jun-21,2021,26,102,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,1/7/2021,1-Jul-21,2021,27,275,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,1/7/2021,1-Jul-21,2021,27,275,CHE,Pera Amarilla                                          ,Pera Amarilla 2,72,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,16/07/2021,16-Jul-21,2021,29,1740,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,10/6/2021,10-Jun-21,2021,24,24,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,8/7/2021,8-Jul-21,2021,28,840,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,16/08/2021,16-Aug-21,2021,34,8,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,26/06/2021,26-Jun-21,2021,26,99,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.4096,10/8/2021,10-Aug-21,2021,33,60,CHE,Pera Amarilla                                          ,Pera Amarilla 2,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,10/8/2021,10-Aug-21,2021,33,96,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,26/06/2021,26-Jun-21,2021,26,220,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,7/7/2021,7-Jul-21,2021,28,495,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,18/08/2021,18-Aug-21,2021,34,12,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,8/7/2021,8-Jul-21,2021,28,420,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,16/08/2021,16-Aug-21,2021,34,10,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,10/6/2021,10-Jun-21,2021,24,10,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,16/07/2021,16-Jul-21,2021,29,1352,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,16/07/2021,16-Jul-21,2021,29,351,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,16/07/2021,16-Jul-21,2021,29,44,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,1/7/2021,1-Jul-21,2021,27,726,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,1/7/2021,1-Jul-21,2021,27,726,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,27/07/2021,27-Jul-21,2021,31,12,CHE,Pera Roja                                              ,Pera Roja,V02,6,
22/03/2021,22-Mar-21,2021,VAP,San Vicente,0.3584,22/06/2021,22-Jun-21,2021,26,156,CHE,Pera Roja                                              ,Pera Roja,V02,6,
