iqr,peak_harvest,first_harvest,end_harvest
2,14.922535211267606,11,17
2,16.386281588447652,12,19
3,16.342428376534787,11,19
0,13.631578947368421,11,14
3,17.216216216216218,11,20
2,16.764705882352942,13,19
2,16.21875,14,17
2,16.708260105448154,11,19
3,16.521052631578947,12,20
3,16.549763033175356,13,18
2,15.978848413631022,12,19
2,17.526413345690454,13,19
2,16.818181818181817,12,19
3,16.247311827956988,11,20
3,16.444933920704845,14,19
0,13.0,13,13
3,16.142857142857142,11,19
3,16.714285714285715,11,20
2,18.796928327645052,16,21
0,17.654545454545456,17,20
2,18.219534252769613,13,20
1,16.6,16,17
4,19.103448275862068,16,21
0,16.797619047619047,15,18
3,15.055555555555555,12,17
2,16.46065057712487,11,19
2,16.62457337883959,11,19
1,16.487309644670052,11,19
2,16.383561643835616,11,19
1,16.719101123595507,11,19
3,16.45054945054945,12,19
2,16.923076923076923,12,19
1,16.294736842105262,11,19
2,16.028153153153152,11,18
3,15.355177993527509,11,18
1,16.003236245954692,12,18
2,16.181891673403396,12,18
1,17.705321285140563,12,20
1,17.43595809395066,12,23
3,16.130718754768807,11,23
2,16.262724550898202,12,18
3,15.846153846153847,14,17
2,15.666666666666666,14,17
2,15.45,14,17
3,16.435114503816795,14,18
1,15.639344262295081,14,17
1,14.368421052631579,14,15
3,16.123456790123456,14,18
2,19.28182807399347,16,24
0,20.0,20,20
1,18.074074074074073,15,19
1,17.336227308603,12,23
1,17.428015564202333,11,19
2,16.974358974358974,11,18
2,17.806451612903224,12,19
1,17.45,11,19
3,15.95,13,18
4,18.710439300897498,14,23
1,13.227272727272727,11,14
8,18.390735146022156,11,22
1,16.194312796208532,13,17
1,17.195794053662073,11,21
1,17.224390243902437,13,19
4,18.363661704855886,13,24
0,20.90956749672346,19,23
4,18.0028278543655,13,22
3,18.64227905471026,15,22
3,18.88888888888889,15,24
2,18.33609958506224,14,21
2,17.990453460620525,16,22
4,18.23353819139596,14,22
3,19.035353535353536,16,22
0,14.0,14,14
6,18.75,15,21
0,16.6,14,17
3,18.875,13,21
3,17.475728155339805,12,21
1,16.271676300578033,12,19
1,17.131782945736433,13,18
2,16.901456146291906,12,22
2,16.140586797066014,11,19
0,13.0,13,13
1,16.54945054945055,12,20
4,18.62857142857143,16,21
5,17.660714285714285,12,21
2,16.5,13,18
3,17.473509933774835,13,20
4,16.43,12,19
0,15.987341772151899,14,17
3,16.452830188679247,14,21
3,17.358618885691865,13,22
2,17.912891986062718,13,20
2,17.277280858676207,13,22
4,16.527140381282496,12,20
3,17.07950210801044,12,21
3,16.486860035039907,12,21
3,17.508731966590737,12,21
3,17.691958762886596,13,21
1,16.511111111111113,16,17
3,17.407453416149067,13,21
5,17.302581725262137,13,23
2,15.545454545454545,14,20
2,17.256410256410255,15,21
3,17.26328800988875,14,21
1,16.766666666666666,13,18
4,16.829821717990274,14,21
4,16.921810699588477,14,20
3,17.687058823529412,14,21
2,15.366146458583433,12,19
3,16.929458740017747,14,21
2,16.846815834767643,14,20
0,15.0,15,15
2,15.4,14,16
0,15.655932203389831,15,18
2,13.823529411764707,11,15
2,17.702985074626866,11,19
4,13.0,11,15
2,14.5,13,15
2,13.956937799043063,11,15
0,12.6,11,13
4,17.18713450292398,11,19
