PlantingID,WeeksAfterTransplant,Kilos,Year,Brix
2013-02-25_Baby Black Plum_ZJL_Z17_4_0.02,10,32.0,2013,5.6
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,10,16.0,2013,5.6
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,12,32.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,13,112.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,14,176.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,15,210.0,2013,5.2
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,16,496.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,18,256.0,2013,6.0
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,12,48.0,2013,6.5
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,13,80.0,2013,8.9
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,14,128.0,2013,6.5
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,16,512.0,2013,5.7
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,17,48.0,2013,5.2
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,18,304.0,2013,5.3
2013-03-01_Amaí_ZJL_Z17_11_0.37,9,16.0,2013,6.5
2013-03-01_Amaí_ZJL_Z17_11_0.37,10,256.0,2013,7.65
2013-03-01_Amaí_ZJL_Z17_11_0.37,11,64.0,2013,7.5
2013-03-01_Amaí_ZJL_Z17_11_0.37,12,528.0,2013,7.5
2013-03-01_Amaí_ZJL_Z17_11_0.37,13,2192.0,2013,7.333333333333333
2013-03-01_Amaí_ZJL_Z17_11_0.37,14,1549.0,2013,6.0600000000000005
2013-03-01_Amaí_ZJL_Z17_11_0.37,15,3165.0,2013,6.92
2013-03-01_Amaí_ZJL_Z17_11_0.37,16,1344.0,2013,6.35
2013-03-01_Amaí_ZJL_Z17_11_0.37,17,1121.0,2013,16.54
2013-03-01_Amaí_ZJL_Z17_11_0.37,18,2256.0,2013,5.18
2013-03-01_Baby Black Plum_ZJL_Z17_11_0.09,12,48.0,2013,6.35
2013-03-01_Baby Black Plum_ZJL_Z17_11_0.09,13,16.0,2013,5.2
2013-03-01_Baby Black Plum_ZJL_Z17_11_0.09,15,208.0,2013,8.5
2013-03-01_Baby Black Plum_ZJL_Z17_11_0.09,16,240.0,2013,6.0
2013-03-01_Baby Black Plum_ZJL_Z17_11_0.09,18,112.0,2013,6.0
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,12,32.0,2013,6.5
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,13,48.0,2013,6.5
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,14,128.0,2013,7.9
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,15,222.0,2013,6.2
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,16,336.0,2013,7.3
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,17,368.0,2013,4.8999999999999995
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,18,624.0,2013,4.3
2013-03-01_Habanero Rojo_ZJL_Z17_11_0.08,19,96.0,2013,4.1
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,10,16.0,2013,6.5
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,12,32.0,2013,6.5
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,13,128.0,2013,7.333333333333333
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,14,64.0,2013,7.3
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,15,217.0,2013,5.5
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,16,208.0,2013,6.5
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,17,112.0,2013,6.3
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,18,592.0,2013,4.449999999999999
2013-03-01_Habanero Tangerina_ZJL_Z17_11_0.07,19,112.0,2013,4.9
2013-03-12_Amaí_VAP_V02_7_0.39,10,544.0,2013,7.35
2013-03-12_Amaí_VAP_V02_7_0.39,11,368.0,2013,7.3
2013-03-12_Amaí_VAP_V02_7_0.39,12,720.0,2013,7.8
2013-03-12_Amaí_VAP_V02_7_0.39,13,1248.0,2013,8.0
2013-03-12_Amaí_VAP_V02_7_0.39,14,2528.0,2013,7.425
2013-03-12_Amaí_VAP_V02_7_0.39,15,3376.0,2013,7.033333333333334
2013-03-12_Amaí_VAP_V02_7_0.39,16,1840.0,2013,6.75
2013-03-12_Amaí_VAP_V02_7_0.39,17,4688.0,2013,7.066666666666666
2013-03-12_Amaí_VAP_V02_7_0.39,18,2368.0,2013,6.45
2013-03-12_Amaí_VAP_V02_7_0.39,19,1408.0,2013,7.1
2013-03-12_Amaí_VAP_V02_7_0.39,20,1600.0,2013,6.0
2013-03-12_Amsterdam_VAP_V02_7_0.46,10,112.0,2013,7.2
2013-03-12_Amsterdam_VAP_V02_7_0.46,11,144.0,2013,7.3
2013-03-12_Amsterdam_VAP_V02_7_0.46,12,416.0,2013,7.55
2013-03-12_Amsterdam_VAP_V02_7_0.46,13,992.0,2013,7.5
2013-03-12_Amsterdam_VAP_V02_7_0.46,14,976.0,2013,7.199999999999999
2013-03-12_Amsterdam_VAP_V02_7_0.46,15,544.0,2013,6.3
2013-03-12_Amsterdam_VAP_V02_7_0.46,16,4048.0,2013,7.166666666666667
2013-03-12_Amsterdam_VAP_V02_7_0.46,17,4352.0,2013,6.55
2013-03-12_Amsterdam_VAP_V02_7_0.46,18,1888.0,2013,6.8
2013-03-12_Amsterdam_VAP_V02_7_0.46,19,2480.0,2013,7.0
2013-03-12_Amsterdam_VAP_V02_7_0.46,20,1792.0,2013,6.2
2013-03-12_Felicity_VAP_V02_10_0.15,12,112.0,2013,6.5
2013-03-12_Felicity_VAP_V02_10_0.15,13,432.0,2013,7.6
2013-03-12_Felicity_VAP_V02_10_0.15,14,656.0,2013,7.55
2013-03-12_Felicity_VAP_V02_10_0.15,15,704.0,2013,5.7
2013-03-12_Felicity_VAP_V02_10_0.15,16,1008.0,2013,7.0
2013-03-12_Felicity_VAP_V02_10_0.15,17,1552.0,2013,6.55
2013-03-12_Felicity_VAP_V02_10_0.15,19,1744.0,2013,6.2
2013-03-12_Felicity_VAP_V02_11_0.44,10,32.0,2013,7.0
2013-03-12_Felicity_VAP_V02_11_0.44,11,688.0,2013,6.05
2013-03-12_Felicity_VAP_V02_11_0.44,12,864.0,2013,7.3
2013-03-12_Felicity_VAP_V02_11_0.44,13,240.0,2013,6.5
2013-03-12_Felicity_VAP_V02_11_0.44,14,1184.0,2013,6.533333333333334
2013-03-12_Felicity_VAP_V02_11_0.44,15,2176.0,2013,5.866666666666667
2013-03-12_Felicity_VAP_V02_11_0.44,16,4464.0,2013,6.2
2013-03-12_Felicity_VAP_V02_11_0.44,17,9408.0,2013,6.9
2013-03-12_Felicity_VAP_V02_11_0.44,18,4400.0,2013,6.5
2013-03-12_Felicity_VAP_V02_11_0.44,19,7696.0,2013,6.3
2013-03-12_Honey Bunch_VAP_V02_6_0.11,10,32.0,2013,7.8
2013-03-12_Honey Bunch_VAP_V02_6_0.11,11,64.0,2013,6.388595970498291
2013-03-12_Honey Bunch_VAP_V02_6_0.11,12,96.0,2013,7.35
2013-03-12_Honey Bunch_VAP_V02_6_0.11,13,128.0,2013,6.7
2013-03-12_Honey Bunch_VAP_V02_6_0.11,14,288.0,2013,6.35
2013-03-12_Honey Bunch_VAP_V02_6_0.11,15,224.0,2013,6.3
2013-03-12_Honey Bunch_VAP_V02_6_0.11,16,720.0,2013,6.65
2013-03-12_Honey Bunch_VAP_V02_6_0.11,17,1456.0,2013,6.8
2013-03-12_Honey Bunch_VAP_V02_6_0.11,18,608.0,2013,6.9
2013-03-12_Honey Bunch_VAP_V02_6_0.11,19,752.0,2013,6.525
2013-03-12_Honey Bunch_VAP_V02_6_0.11,20,432.0,2013,5.4
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,11,80.0,2013,7.4
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,12,256.0,2013,7.0
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,13,128.0,2013,6.2
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,14,928.0,2013,5.85
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,15,800.0,2013,6.3
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,16,1760.0,2013,6.9
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,17,2128.0,2013,6.933333333333334
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,18,1776.0,2013,7.2
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,19,1456.0,2013,5.6000000000000005
2013-03-12_Pera Amarilla_VAP_V02_6_0.18,20,512.0,2013,6.5
2013-03-12_Pera Amarilla_VAP_V02_6_0.23,13,256.0,2013,6.65
2013-03-12_Perla_VAP_V02_11_0.08,13,16.0,2013,8.2
2013-03-12_Perla_VAP_V02_11_0.08,16,32.0,2013,7.0
2013-03-12_Perla_VAP_V02_11_0.08,17,32.0,2013,6.5
2013-03-12_Perla_VAP_V02_11_0.08,18,32.0,2013,7.0
